,Unnamed: 0,Student ID,Date of Birth,Registration Date,Faculty,Program,Education Level,Semester,Course code,Course name,Credits,Num Grade,Letter Grade
12,12,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),1.Semester: 2016 Spring,CS103,INTRODUCTION TO PROGRAMMING,3|6,6.0,C
13,13,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),1.Semester: 2016 Spring,ENG111,FRESHMAN ENGLISH,2|4,9.0,A-
14,14,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),1.Semester: 2016 Spring,HUM101,SCIENCE AND TECHNOLOGY,3|6,6.0,C
15,15,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),1.Semester: 2016 Spring,MATH101,CALCULUS I,3|6,6.0,C
16,16,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),1.Semester: 2016 Spring,SPS103,LAW AND ETHICS,3|6,9.0,A-
17,17,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),1.Semester: 2016 Spring,TURK121,SPOKEN TURKISH I  ,1|2,6.0,C
18,18,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),5.Semester: 2018 Spring,CS304,COMPUTER ARCHITECTURE,3|6,6.0,C
19,19,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),5.Semester: 2018 Spring,CS306,DATABASE MANAGEMENT,3|6,6.0,C
20,20,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),5.Semester: 2018 Spring,ENS203,ELECTRICAL CIRCUITS I,3|6,6.0,C
21,21,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),5.Semester: 2018 Spring,ENS221,INTRODUCTION TO ENGINEERING,3|6,6.0,C
22,22,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),5.Semester: 2018 Spring,MATH201,LINEAR ALGEBRA,3|6,7.0,C+
23,23,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),8.Semester: 2019 Fall,CS313,THEORY OF COMPUTATION,3|6,7.0,B-
24,24,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),8.Semester: 2019 Fall,CS370,WORK PLACEMENT/INTERNSHIP,3|6,,S
25,25,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),8.Semester: 2019 Fall,CS412,WEB APPLICATION DEVELOPMENT,3|6,6.0,C
26,26,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),8.Semester: 2019 Fall,CS498,SPECIAL TOPICS IN COMPUTER SCIENCE I,3|6,6.0,C
27,27,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),8.Semester: 2019 Fall,EE325,EMBEDDED SYSTEMS,3|6,6.0,C
28,28,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),8.Semester: 2019 Fall,MATH202,DIFFERENTIAL EQUATIONS,3|6,5.0,N
29,29,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),7.Semester: 2019 Spring,CS308,SOFTWARE ENGINEERING,3|6,5.0,E
30,30,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),7.Semester: 2019 Spring,CS416,CRYPTOGRAPHY,3|6,7.0,C+
31,31,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),7.Semester: 2019 Spring,MATH205,NUMERICAL ANALYSIS,3|6,,W
32,32,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),7.Semester: 2019 Spring,MATH209,DISCRETE MATHEMATICS II,3|6,6.0,C
33,33,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),7.Semester: 2019 Spring,SE308,COMMUNICATION SYSTEMS AND NETWORKS,3|6,6.0,C
34,34,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),7.Semester: 2019 Spring,SE407,SOFTWARE QUALITY MANAGEMENT,3|6,5.0,F
35,35,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),4.Semester: 2017 Fall,CS303,DIGITAL DESIGN,3|6,5.0,F
36,36,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),4.Semester: 2017 Fall,ENS205,MATERIALS SCIENCE,3|6,6.0,C
37,37,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),4.Semester: 2017 Fall,MATH201,LINEAR ALGEBRA,3|6,,W
38,38,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),4.Semester: 2017 Fall,MATH204,DISCRETE MATHEMATICS,3|6,6.0,C
39,39,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),4.Semester: 2017 Fall,MATH207,VECTOR CALCULUS,3|6,7.0,C+
40,40,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),2.Semester: 2016 Fall,CS105,ADVANCED PROGRAMMING,3|6,,W
41,41,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),2.Semester: 2016 Fall,ECON101,ECONOMICS,3|6,7.0,C+
42,42,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),2.Semester: 2016 Fall,MAN111,COMMUNICATION AND REPORTING,2|4,7.0,B-
43,43,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),2.Semester: 2016 Fall,MATH102,CALCULUS II,3|6,7.0,B-
44,44,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),2.Semester: 2016 Fall,NS102,PHYSICS,3|6,5.0,F
45,45,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),2.Semester: 2016 Fall,TURK122,SPOKEN TURKISH II ,1|2,6.0,C
46,46,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),3.Semester: 2017 Spring,CS105,ADVANCED PROGRAMMING,3|6,7.0,C+
47,47,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),3.Semester: 2017 Spring,ENS207,ENGINEERING GRAPHICS,3|6,8.0,B+
48,48,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),3.Semester: 2017 Spring,MAN102,INTRODUCTION TO MANAGEMENT,3|6,6.0,C
49,49,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),3.Semester: 2017 Spring,MATH202,DIFFERENTIAL EQUATIONS,3|6,,W
50,50,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),3.Semester: 2017 Spring,MATH203,INTRODUCTION TO PROBABILITY AND STATISTICS,3|6,8.0,B+
51,51,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),3.Semester: 2017 Fall,ENS105,THE BRAIN,3|6,9.0,A-
52,52,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),3.Semester: 2017 Fall,ENS205,MATERIALS SCIENCE,3|6,8.0,B+
53,53,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),3.Semester: 2017 Fall,MATH202,DIFFERENTIAL EQUATIONS,3|6,,W
54,54,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),3.Semester: 2017 Fall,NS102,PHYSICS,3|6,9.0,A-
55,55,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),3.Semester: 2017 Fall,NS205,CELL BIOLOGY,3|6,9.0,A-
56,56,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),2.Semester: 2017 Spring,MAN111,COMMUNICATION AND REPORTING,2|4,9.0,A-
57,57,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),2.Semester: 2017 Spring,MATH102,CALCULUS II,3|6,8.0,B+
58,58,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),2.Semester: 2017 Spring,MATH203,INTRODUCTION TO PROBABILITY AND STATISTICS,3|6,10.0,A
59,59,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),2.Semester: 2017 Spring,NS104,GENERAL CHEMISTRY,3|6,10.0,A
60,60,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),2.Semester: 2017 Spring,SPS103,LAW AND ETHICS,3|6,8.0,B
61,61,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),2.Semester: 2017 Spring,TURK122,SPOKEN TURKISH II ,1|2,10.0,A
62,62,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),Unknown,BIO415,GENETIC ENGINEERING,3|6,,T
63,63,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),Unknown,NS203,PHYSICAL CHEMISTRY,3|6,,T
64,65,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),7.Semester: 2020 Spring,BIO305,BIOCHEMISTRY II,3|6,,
65,66,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),7.Semester: 2020 Spring,BIO370,WORK PLACEMENT / INTERNSHIP,3|6,,S
66,67,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),7.Semester: 2020 Spring,BIO404,AGRICULTURAL BIOTECHNOLOGY,3|6,,
67,68,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),7.Semester: 2020 Spring,BIO407,PROTEIN ENGINEERING,3|6,,
68,69,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),7.Semester: 2020 Spring,IBF208,BUSINESS FINANCE,3|6,,
69,70,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),7.Semester: 2020 Spring,PSY414,PSYCHOLOGY OF ADULTHOOD AND AGING,3|6,,
70,71,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),Unknown,BIO312,TECHNIQUES IN MOLECULAR BIOLOGY,3|6,,T
71,72,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),Unknown,BIO315,CELL AND TISSUE CULTURE ENGINEERING,3|6,,T
72,73,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),Unknown,BIO409,IMMUNOLOGY,3|6,,T
73,74,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),1.Semester: 2016 Fall,ECON101,ECONOMICS,3|6,9.0,A-
74,75,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),1.Semester: 2016 Fall,ENG111,FRESHMAN ENGLISH,2|4,9.0,A-
75,76,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),1.Semester: 2016 Fall,HUM101,SCIENCE AND TECHNOLOGY,3|6,10.0,A
76,77,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),1.Semester: 2016 Fall,MATH101,CALCULUS I,3|6,10.0,A
77,78,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),1.Semester: 2016 Fall,NS103,BIOLOGY,3|6,9.0,A-
78,79,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),1.Semester: 2016 Fall,TURK121,SPOKEN TURKISH I  ,1|2,10.0,A
79,80,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),5.Semester: 2018 Fall,BIO301,MOLECULAR BIOLOGY,3|6,7.0,C+
80,81,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),5.Semester: 2018 Fall,BIO303,GENETICS II,3|6,8.0,B+
81,82,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),5.Semester: 2018 Fall,BIO308,PLANT STRUCTURE AND PHYSIOLOGY,3|6,10.0,A
82,83,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),5.Semester: 2018 Fall,BIO310,BIOINFORMATICS,3|6,,W
83,84,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),5.Semester: 2018 Fall,MATH202,DIFFERENTIAL EQUATIONS,3|6,8.0,B
84,85,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),5.Semester: 2018 Fall,NS202,BIOCHEMISTRY I,3|6,9.0,A-
85,86,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),6.Semester: 2019 Fall,BIO309,BIOETHICS,3|6,6.0,C
86,87,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),6.Semester: 2019 Fall,BIO310,BIOINFORMATICS,3|6,8.0,B+
87,88,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),6.Semester: 2019 Fall,BIO412,SPECIAL TOPICS IN BIOENGINEERING,3|6,9.0,A-
88,89,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),6.Semester: 2019 Fall,BIO418,VIROLOGY,3|6,9.0,A-
89,90,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),6.Semester: 2019 Fall,BIO490,GRADUATION PROJECT,3|6,10.0,A
90,91,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),4.Semester: 2018 Spring,BIO306,GENERAL MICROBIOLOGY,3|6,8.0,B+
91,92,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),4.Semester: 2018 Spring,ENS202,THERMODYNAMICS,3|6,6.0,C
92,93,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),4.Semester: 2018 Spring,ENS213,PROGRAMMING FOR ENGINEERS (+),3|6,6.0,C
93,94,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),4.Semester: 2018 Spring,NS207,ORGANIC CHEMISTRY,3|6,9.0,
94,95,160301001,1997-03-18,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),4.Semester: 2018 Spring,NS209,GENETICS I,3|6,8.0,B
95,96,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),2.Semester: 2017 Fall,ELIT200,CRITICAL READING AND WRITING,3|6,8.0,B
96,97,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),2.Semester: 2017 Fall,ENS105,THE BRAIN,3|6,5.0,F
97,98,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),2.Semester: 2017 Fall,ENS205,MATERIALS SCIENCE,3|6,5.0,F
98,99,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),2.Semester: 2017 Fall,MATH102,CALCULUS II,3|6,7.0,B-
99,100,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),2.Semester: 2017 Fall,NS102,PHYSICS,3|6,5.0,F
100,101,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),2.Semester: 2017 Fall,TURK122,SPOKEN TURKISH II ,1.5|3,6.0,C
101,102,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),6.Semester: 2019 Fall,BIO304,STRUCTURAL BIOLOGY,3|6,5.0,F
102,103,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),6.Semester: 2019 Fall,BIO309,BIOETHICS,3|6,9.0,A-
103,104,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),6.Semester: 2019 Fall,ENS205,MATERIALS SCIENCE,3|6,7.0,B-
104,105,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),6.Semester: 2019 Fall,MATH203,INTRODUCTION TO PROBABILITY AND STATISTICS,3|6,5.0,F
105,106,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),6.Semester: 2019 Fall,NS202,BIOCHEMISTRY I,3|6,6.0,C
106,107,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),6.Semester: 2019 Fall,NS205,CELL BIOLOGY,3|6,7.0,C+
107,108,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),7.Semester: 2020 Spring,BIO314,NEUROANATOMY,3|6,,
108,109,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),7.Semester: 2020 Spring,BIO370,WORK PLACEMENT / INTERNSHIP,3|6,,S
109,110,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),7.Semester: 2020 Spring,BIO404,AGRICULTURAL BIOTECHNOLOGY,3|6,,
110,111,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),7.Semester: 2020 Spring,BIO407,PROTEIN ENGINEERING,3|6,,
111,112,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),7.Semester: 2020 Spring,BIO409,IMMUNOLOGY,3|6,,W
112,113,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),7.Semester: 2020 Spring,ENS202,THERMODYNAMICS,3|6,,
113,114,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),4.Semester: 2018 Fall,BIO303,GENETICS II,3|6,5.0,F
114,115,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),4.Semester: 2018 Fall,ENS202,THERMODYNAMICS,3|6,5.0,F
115,116,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),4.Semester: 2018 Fall,ENS205,MATERIALS SCIENCE,3|6,5.0,N
116,117,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),4.Semester: 2018 Fall,MATH203,INTRODUCTION TO PROBABILITY AND STATISTICS,3|6,5.0,F
117,118,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),4.Semester: 2018 Fall,NS202,BIOCHEMISTRY I,3|6,5.0,F
118,119,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),4.Semester: 2018 Fall,NS205,CELL BIOLOGY,3|6,5.0,N
119,120,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),5.Semester: 2019 Spring,BIO305,BIOCHEMISTRY II,3|6,6.0,C
120,121,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),5.Semester: 2019 Spring,BIO306,GENERAL MICROBIOLOGY,3|6,6.0,C
121,122,160301008,1996-04-10,2016-09-26,Faculty of Engineering and Natural Sciences,Genetics and Bioengineering (Bachelor),I Cycle (Bachelor),5.Semester: 2019 Spring,ENS207,ENGINEERING GRAPHICS,3|6,7.0,C+
